>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YNL154C	4932.YPL141C
4932.YNL020C	4932.YPL259C
4932.YJR090C	4932.YLL039C
4932.YDL083C	4932.YMR146C
4932.YBR212W	4932.YKL171W
4932.YHR030C	4932.YMR036C
4932.YGR260W	4932.YLR240W
4932.YDL013W	4932.YFL009W
4932.YDR378C	4932.YER172C
4932.YDR177W	4932.YER111C
4932.YFR023W	4932.YHR218W
4932.YER133W	4932.YGL035C
4932.YBR146W	4932.YNL252C
4932.YIL103W	4932.YJL102W
4932.YLR399C	4932.YMR199W
4932.YDR500C	4932.YMR230W
4932.YAR007C	4932.YOR224C
4932.YGL209W	4932.YOR061W
4932.YLR093C	4932.YPL232W
4932.YFL039C	4932.YPL240C
4932.YGR123C	4932.YOR109W
4932.YDR012W	4932.YPR088C
4932.YDR313C	4932.YPR042C
4932.YLR048W	4932.YLR466W
4932.YDL048C	4932.YKL028W
4932.YCR028C-A	4932.YML032C
4932.YDR167W	4932.YIL143C
4932.YMR230W	4932.YOL127W
4932.YBR066C	4932.YOL080C
4932.YDR036C	4932.YGL209W
4932.YHR147C	4932.YOR293W
4932.YDL075W	4932.YGL076C
4932.YEL009C	4932.YNL027W
4932.YHL033C	4932.YLR061W
4932.YDR409W	4932.YLR115W
4932.YBL059W	4932.YCR099C
4932.YDR059C	4932.YHR079C
4932.YHR143W-A	4932.YKR062W
4932.YBR283C	4932.YOL127W
4932.YER031C	4932.YIL137C
4932.YDR047W	4932.YJL034W
4932.YDR099W	4932.YNR032W
4932.YDR382W	4932.YLR344W
4932.YDR385W	4932.YLR197W
4932.YFR031C-A	4932.YJR113C
4932.YJR082C	4932.YOR064C
4932.YDR373W	4932.YPR141C
4932.YDR485C	4932.YFL013C
4932.YGR085C	4932.YPL131W
4932.YML027W	4932.YMR139W
4932.YKL156W	4932.YNL137C
4932.YDL014W	4932.YLR197W
4932.YDR026C	4932.YLR357W
4932.YAL024C	4932.YPL230W
4932.YHL027W	4932.YPL150W
4932.YBL111C	4932.YDR337W
4932.YBR089C-A	4932.YNL167C
4932.YDL161W	4932.YKL212W
4932.YGR028W	4932.YOL038W
4932.YJR040W	4932.YKL116C
4932.YLR027C	4932.YOR133W
4932.YGR171C	4932.YNL073W
4932.YDL079C	4932.YPL204W
4932.YGR052W	4932.YMR199W
4932.YBR181C	4932.YKL203C
4932.YHR005C	4932.YJL005W
4932.YDR339C	4932.YHR088W
4932.YDR116C	4932.YIL177C
4932.YBL087C	4932.YDR025W
4932.YDR247W	4932.YJL081C
4932.YJR045C	4932.YKL171W
4932.YGL210W	4932.YNL307C
4932.YOL127W	4932.YPL178W
4932.YGR204W	4932.YOR374W
4932.YJL110C	4932.YMR068W
4932.YDR333C	4932.YMR247C
4932.YGR056W	4932.YNL330C
4932.YKR059W	4932.YMR104C
4932.YDR012W	4932.YMR286W
4932.YDL064W	4932.YPL003W
4932.YKL209C	4932.YLR357W
4932.YDR045C	4932.YMR037C
4932.YPL167C	4932.YPR175W
4932.YNL284C-A	4932.YOL103W-A
4932.YHL034C	4932.YPR080W
4932.YBR010W	4932.YNR050C
4932.YDR012W	4932.YOR234C
4932.YDR043C	4932.YHL027W
4932.YLR069C	4932.YLR167W
4932.YGL076C	4932.YGR148C
4932.YFR004W	4932.YGR253C
4932.YER173W	4932.YKL113C
4932.YDR036C	4932.YIL005W
4932.YAL020C	4932.YMR139W
4932.YLR375W	4932.YMR276W
4932.YGL254W	4932.YNR032W
4932.YIL003W	4932.YKR071C
4932.YAL021C	4932.YPL064C
4932.YDR026C	4932.YKL157W
4932.YLR357W	4932.YOR304W
4932.YFR030W	4932.YIL001W
4932.YBR160W	4932.YFR028C
4932.YKL058W	4932.YMR236W
4932.YBR186W	4932.YLR167W
4932.YKL113C	4932.YNL102W
4932.YLR167W	4932.YOR217W
4932.YAL029C	4932.YNR035C
4932.YGR188C	4932.YIL026C
4932.YDR436W	4932.YJL057C
4932.YLR418C	4932.YOR116C
4932.YFR009W	4932.YLR180W
4932.YBL075C	4932.YLL008W
4932.YBR146W	4932.YGL078C
4932.YMR056C	4932.YOR045W
4932.YDR510W	4932.YHR111W
4932.YKR048C	4932.YLR457C
4932.YJL191W	4932.YNR037C
4932.YHR218W-A	4932.YPL031C
4932.YJL034W	4932.YLR466W
4932.YDR216W	4932.YHR005C
4932.YIR015W	4932.YOL121C
4932.YDR145W	4932.YDR167W
