item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
4932.YGR085C	4932.YLR264W	catalysis		t	f	570
4932.YGR085C	4932.YLR264W	binding		f	t	570
4932.YGR085C	4932.YLR264W	reaction		t	f	570
4932.YDL003W	4932.YIR026C	binding		f	t	167
4932.YDR382W	4932.YMR230W	reaction		f	f	570
4932.YDR382W	4932.YMR230W	binding		f	f	570
4932.YDR382W	4932.YMR230W	catalysis		t	t	570
4932.YBR103W	4932.YNR012W	reaction		t	f	311
4932.YBR103W	4932.YNR012W	ptmod		f	f	384
4932.YBR103W	4932.YNR012W	binding		f	t	311
4932.YDR335W	4932.YLR375W	activation	activation	t	t	183
4932.YDR253C	4932.YLR357W	binding		f	f	188
4932.YDR253C	4932.YLR357W	activation	activation	t	f	173
4932.YDR253C	4932.YLR357W	reaction		f	f	183
4932.YDR253C	4932.YLR357W	inhibition	inhibition	t	t	173
4932.YGR085C	4932.YJL190C	reaction		t	t	570
4932.YGR085C	4932.YJL190C	catalysis		t	f	570
4932.YGR085C	4932.YJL190C	binding		f	f	930
4932.YBL056W	4932.YDR092W	activation	activation	t	f	185
4932.YBL056W	4932.YDR092W	reaction		f	f	188
4932.YBL056W	4932.YDR092W	catalysis		t	f	188
4932.YDR177W	4932.YPL141C	catalysis		t	f	188
4932.YDR177W	4932.YPL141C	binding		f	t	185
4932.YDR177W	4932.YPL141C	activation	activation	t	t	181
4932.YDR177W	4932.YPL141C	reaction		t	f	188
4932.YIL126W	4932.YOR233W	catalysis		t	t	181
4932.YIL126W	4932.YOR233W	activation	activation	t	t	181
4932.YIL126W	4932.YOR233W	binding		f	f	181
4932.YIL126W	4932.YOR233W	reaction		t	f	181
4932.YDL018C	4932.YGL200C	reaction		t	t	575
4932.YDL018C	4932.YGL200C	binding		f	f	884
4932.YDL018C	4932.YGL200C	catalysis		t	t	575
4932.YDR294C	4932.YPL038W	binding		f	t	153
4932.YDR294C	4932.YPL038W	activation	activation	t	f	154
4932.YDR294C	4932.YPL038W	expression	inhibition	t	f	154
4932.YDL004W	4932.YPL078C	reaction		t	f	777
4932.YDL004W	4932.YPL078C	binding		f	t	974
4932.YDL004W	4932.YPL078C	catalysis		t	f	777
4932.YBR103W	4932.YHR085W	reaction		f	f	165
4932.YBR103W	4932.YHR085W	binding		f	t	165
4932.YHR082C	4932.YJL005W	reaction		t	t	422
4932.YHR082C	4932.YJL005W	activation	activation	t	f	181
4932.YHR082C	4932.YJL005W	inhibition	inhibition	f	f	188
4932.YHR082C	4932.YJL005W	binding		f	t	673
4932.YHR082C	4932.YJL005W	expression		t	t	155
4932.YHR082C	4932.YJL005W	catalysis		t	f	448
4932.YHR082C	4932.YJL005W	ptmod		t	t	188
4932.YML027W	4932.YPL230W	expression	inhibition	t	f	151
4932.YML027W	4932.YPL230W	binding		f	t	165
4932.YML027W	4932.YPL230W	activation	activation	t	f	158
4932.YJR045C	4932.YML064C	expression	inhibition	t	f	154
4932.YJR045C	4932.YML064C	binding		f	t	154
4932.YJR032W	4932.YKR082W	reaction		t	t	202
4932.YJR032W	4932.YKR082W	activation	activation	t	f	202
4932.YJR032W	4932.YKR082W	binding		f	t	202
4932.YJR032W	4932.YKR082W	catalysis		t	f	202
4932.YDR418W	4932.YKL194C	reaction		t	t	347
4932.YDR418W	4932.YKL194C	catalysis		t	f	347
4932.YDR418W	4932.YKL194C	binding		f	f	347
4932.YMR236W	4932.YPL216W	reaction		t	t	262
4932.YMR236W	4932.YPL216W	catalysis		t	f	262
4932.YMR236W	4932.YPL216W	binding		f	f	262
4932.YHL004W	4932.YJR145C	catalysis		t	f	345
4932.YHL004W	4932.YJR145C	binding		f	t	345
4932.YHL004W	4932.YJR145C	reaction		t	t	345
4932.YGL044C	4932.YPL184C	reaction		t	f	224
4932.YGL044C	4932.YPL184C	catalysis		t	t	224
4932.YGL044C	4932.YPL184C	binding		f	f	224
4932.YDR435C	4932.YNR032W	ptmod		t	t	154
4932.YDL082W	4932.YMR194W	catalysis		t	t	570
4932.YDL082W	4932.YMR194W	binding		f	t	941
4932.YDL082W	4932.YMR194W	reaction		t	t	570
4932.YAL017W	4932.YML059C	binding		f	t	188
4932.YAL017W	4932.YML059C	activation	activation	t	f	185
4932.YIL018W	4932.YOR133W	reaction		t	t	223
4932.YIL018W	4932.YOR133W	catalysis		t	f	214
4932.YIL018W	4932.YOR133W	binding		f	f	215
4932.YDL028C	4932.YLR045C	binding		f	t	915
4932.YHR124W	4932.YJR094C	expression		t	f	484
4932.YHR124W	4932.YJR094C	activation	activation	t	f	484
4932.YCR018C	4932.YOR233W	binding		f	t	181
4932.YCR018C	4932.YOR233W	activation	activation	t	t	181
4932.YCR018C	4932.YOR233W	ptmod		t	f	181
4932.YCR018C	4932.YOR233W	expression		t	f	181
4932.YKL193C	4932.YPL046C	binding		f	f	187
4932.YKL193C	4932.YPL046C	catalysis		t	t	187
4932.YKL193C	4932.YPL046C	reaction		t	f	187
4932.YPL026C	4932.YPR052C	binding		f	t	183
4932.YPL026C	4932.YPR052C	activation	activation	t	f	152
4932.YBL105C	4932.YGR252W	activation	activation	t	t	183
4932.YBL105C	4932.YGR252W	catalysis		t	t	188
4932.YBL105C	4932.YGR252W	binding		f	f	158
4932.YBL105C	4932.YGR252W	ptmod		t	t	161
4932.YBL105C	4932.YGR252W	inhibition	inhibition	t	t	187
4932.YMR182C	4932.YNL154C	activation	activation	t	f	183
4932.YMR182C	4932.YNL154C	ptmod		f	f	192
4932.YKL126W	4932.YKL161C	inhibition	inhibition	f	t	226
4932.YKL126W	4932.YKL161C	activation	activation	f	f	240
4932.YKL126W	4932.YKL161C	binding		f	f	188
4932.YKL126W	4932.YKL161C	expression		t	f	183
4932.YKL126W	4932.YKL161C	catalysis		t	f	229
4932.YKL126W	4932.YKL161C	ptmod		t	f	188
4932.YGL240W	4932.YOL133W	reaction		t	t	603
4932.YGL240W	4932.YOL133W	binding		f	t	890
4932.YGL240W	4932.YOL133W	catalysis		t	f	603
4932.YML026C	4932.YOL120C	reaction		t	t	955
4932.YML026C	4932.YOL120C	catalysis		t	t	955
4932.YML026C	4932.YOL120C	binding		f	t	955
4932.YDL008W	4932.YIL046W	reaction		t	t	171
4932.YDL008W	4932.YIL046W	binding		f	t	913
4932.YDL008W	4932.YIL046W	catalysis		t	f	171
4932.YGR276C	4932.YJR127C	reaction		f	f	179
4932.YGR276C	4932.YJR127C	binding		f	t	179
4932.YCR072C	4932.YMR104C	ptmod		t	f	169
4932.YCR072C	4932.YMR104C	activation	activation	t	f	187
4932.YEL037C	4932.YPR066W	catalysis		t	f	190
4932.YEL037C	4932.YPR066W	binding		f	t	190
4932.YEL037C	4932.YPR066W	reaction		t	f	190
4932.YDL111C	4932.YMR121C	catalysis		t	t	321
4932.YER102W	4932.YPR102C	catalysis		t	t	955
4932.YER102W	4932.YPR102C	binding		f	t	955
4932.YER102W	4932.YPR102C	reaction		f	f	955
4932.YLL039C	4932.YML065W	reaction		t	t	204
4932.YLL039C	4932.YML065W	binding		f	f	204
4932.YDR139C	4932.YJL033W	reaction		f	f	154
4932.YDR139C	4932.YJL033W	binding		f	f	154
4932.YDR139C	4932.YJL033W	catalysis		t	t	154
4932.YLR096W	4932.YNL021W	ptmod		t	t	187
4932.YJL034W	4932.YML078W	catalysis		t	t	228
4932.YJL034W	4932.YML078W	binding		f	f	228
4932.YJL034W	4932.YML078W	reaction		t	t	228
4932.YOR269W	4932.YPL240C	reaction		t	f	559
4932.YOR269W	4932.YPL240C	binding		f	t	559
4932.YOR269W	4932.YPL240C	catalysis		t	f	559
4932.YCR084C	4932.YJL168C	reaction		t	f	187
4932.YCR084C	4932.YJL168C	binding		f	t	203
4932.YCR084C	4932.YJL168C	catalysis		t	f	187
4932.YLR131C	4932.YOL128C	binding		f	f	153
4932.YLR131C	4932.YOL128C	activation	activation	t	t	181
4932.YLR131C	4932.YOL128C	expression	inhibition	t	t	181
4932.YLR131C	4932.YOL128C	catalysis		t	f	188
4932.YLR131C	4932.YOL128C	ptmod		t	f	181
4932.YKR034W	4932.YLR214W	expression		t	t	183
4932.YKR034W	4932.YLR214W	activation	activation	t	f	172
4932.YDR177W	4932.YLR216C	catalysis		t	f	188
4932.YDR177W	4932.YLR216C	binding		f	f	192
4932.YFR019W	4932.YFR041C	catalysis		t	t	187
4932.YFR019W	4932.YFR041C	binding		f	t	187
4932.YFR019W	4932.YFR041C	reaction		t	t	187
4932.YJR040W	4932.YMR199W	activation	activation	t	f	187
4932.YDR139C	4932.YNR036C	catalysis		t	f	215
4932.YDR139C	4932.YNR036C	binding		f	t	215
4932.YDR139C	4932.YNR036C	reaction		t	f	215
4932.YBL026W	4932.YKL173W	binding		f	f	944
4932.YBL026W	4932.YKL173W	catalysis		t	t	597
4932.YBL026W	4932.YKL173W	reaction		t	t	597
4932.YDL159W	4932.YDR436W	inhibition	inhibition	f	f	193
4932.YDL159W	4932.YDR436W	activation	activation	t	f	187
4932.YJR009C	4932.YNL307C	ptmod		t	f	163
4932.YJR009C	4932.YNL307C	activation	activation	t	f	165
4932.YKR084C	4932.YNR037C	expression		t	f	183
4932.YKR084C	4932.YNR037C	binding		f	f	240
4932.YKR084C	4932.YNR037C	catalysis		t	t	240
4932.YKR084C	4932.YNR037C	reaction		t	t	240
4932.YBR114W	4932.YMR072W	binding		f	t	187
4932.YBR114W	4932.YMR072W	activation	activation	t	t	189
4932.YBL040C	4932.YJR132W	binding		f	t	300
4932.YNL137C	4932.YOR096W	catalysis		t	f	286
4932.YNL137C	4932.YOR096W	binding		f	t	286
4932.YNL137C	4932.YOR096W	reaction		t	f	286
4932.YFR037C	4932.YJR127C	binding		f	t	183
4932.YFR037C	4932.YJR127C	activation	activation	t	t	183
4932.YBR055C	4932.YER029C	binding		f	f	975
4932.YBR055C	4932.YER029C	reaction		f	f	975
4932.YBR055C	4932.YER029C	catalysis		t	t	787
4932.YMR072W	4932.YPL127C	binding		f	t	188
4932.YMR072W	4932.YPL127C	activation	activation	t	t	245
4932.YCR027C	4932.YMR186W	activation	activation	t	f	189
4932.YCR027C	4932.YMR186W	reaction		t	t	185
4932.YCR027C	4932.YMR186W	catalysis		t	f	190
4932.YCR027C	4932.YMR186W	binding		f	f	189
4932.YER074W	4932.YJL190C	reaction		t	t	570
4932.YER074W	4932.YJL190C	catalysis		t	f	570
4932.YER074W	4932.YJL190C	binding		f	f	570
4932.YGR210C	4932.YMR143W	binding	activation	t	f	205
4932.YDR389W	4932.YNL098C	catalysis		t	t	189
4932.YDR389W	4932.YNL098C	activation	activation	t	t	187
4932.YDR389W	4932.YNL098C	inhibition	inhibition	f	f	189
4932.YIL061C	4932.YPL213W	catalysis		t	f	188
4932.YIL061C	4932.YPL213W	binding		f	t	605
4932.YIL061C	4932.YPL213W	reaction		t	f	605
4932.YCL024W	4932.YIL126W	catalysis		t	f	181
4932.YCL024W	4932.YIL126W	activation	activation	t	f	181
4932.YCL024W	4932.YIL126W	binding		f	t	181
4932.YCL024W	4932.YIL126W	reaction		t	t	181
4932.YDL229W	4932.YOR211C	reaction		t	f	163
4932.YDL229W	4932.YOR211C	catalysis		t	t	163
4932.YDL229W	4932.YOR211C	binding		f	t	163
4932.YIL109C	4932.YLR208W	reaction		t	t	949
4932.YIL109C	4932.YLR208W	binding		f	t	949
4932.YIL109C	4932.YLR208W	catalysis		t	f	949
4932.YJL177W	4932.YMR276W	binding		f	t	193
4932.YJL177W	4932.YMR276W	reaction		f	f	193
4932.YJL177W	4932.YMR276W	catalysis		t	f	193
